job_title,job_description
Attorney and Assistant United States Attorney,"DOJ offers a range of opportunities for experienced attorneys to work on significant and complex issues facing our nation. The effectiveness of the Department's law enforcement and legal responsibilities depends upon the continued recruitment and hiring of excellent and diverse legal talent. We recognize the need for attorneys of varied backgrounds and skills, and offer an inclusive environment that relies on diverse perspectives to ensure that we effectively serve the American people."
Special Agent - Law Enforcement or Military Veteran Background,"As an FBI Special Agent with a military or law enforcement background, your tactical skills, leadership, integrity, teamwork and dedication are key. We're looking for detectives, military backgrounds (Special Forces, explosives, WMD, intelligence) and pilots (helicopter and fixed-wing). You may also join the Hostage Rescue Team (HRT), the Special Agent Bomb Tech (SABT) Program and the Special Weapons and Tactics (SWAT) team."
Special Agent - Education/Teaching Background,"As an FBI Special Agent with expertise in education, you have a gift for relating to people of all ages and backgrounds. You are methodical and analytical and can simplify complex material and present it with clear explanations. Your education experience, whether K-12 or higher education, can easily translate to a Special Agent career, where you'll enhance your team by identifying threats and building relationships with communities and individuals."
Special Agent - Accounting/Finance Background,"As an FBI Special Agent with Accounting/Financial expertise, you ensure accountability and trace criminal activity using your problem-solving skills and financial acumen. You follow the money trail and discover hidden assets, connecting the dots to trace transactions to their source. You analyze data, consult with and educate your team. Your diversified financial skills easily adapt to all areas of crime solving, from counterintelligence and cybersecurity to organized crime and terrorism."
"Special Agent - Science, Technology, Engineering and Mathematics (STEM) Background","As an FBI Special Agent, your STEM background provides skills in areas we need most. We need logical thinkers experienced in network security, computer science, software engineering, mathematical formulation and more. Technology permeates every aspect of what we do, from counterterrorism to criminal investigations and fighting cyberattacks. You'll have opportunities to become a Technically Trained Agent or a part of our Computer Analysis Response Teams."
Special Agent - Linguistics/Foreign Language Specialists,"As an FBI Special Agent with language skills and cultural knowledge, your specialty in Arabic, Bosnian, Chinese, Farsi, Russian, Somali, Uzbek, Korean or another language is key. You may be asked to interview a victim of human trafficking, translate during a suspect interview or testify in court. Special Agent candidates with foreign language skills are required to pass the FBI's Foreign Language Test Battery in addition to Special Agent qualifications and exams."
Special Agent - Legal/Criminal Investigation Background,"As an FBI Special Agent, your legal knowledge will help investigate criminal activity and identify authorities and other entities to further investigations. You will work with federal, state and local law enforcement officers and the intelligence community and you will assess the legal implications of tools, technologies and techniques used by the FBI. Your contributions will help you gain exposure to all facets of operations at both Headquarters and within the Field Offices."
PHYSICIAN (PEDIATRICS),"The selectee for this position will serve as a Neonatologist in Naval Medical Center, Portsmouth, VA. The purpose of the position is to provide care for patients admitted to the Neonatal Intensive Care unit at Joint Base Langley-Eustis, Camp Lejeune, NC and Naval Medical Center, Portsmouth."
AIRPLANE PILOT,"This AIRPLANE PILOT position, is located at unit level in the Aviation Wing, Operations Group at flying units in the ANG and is part of the CA 129 RQW, National Guard. This is an open until filled announcement. The announcement will be posted until all positions have been filled. Applications will be reviewed every 30 days and you will receive an email regarding your application status when your application is reviewed."
Physician (Emergency Department),Special Note: This is an open continuous Job Opportunity Announcement (JOA). Applicants are encouraged to apply early in order to maximize their employment opportunities.
Physician (Orthopedic Surgeon),"Uses surgical, medical or physical means to investigate, preserve and restore functions to a patient's extremities or spine ."
PHYSICIAN (OCCUPATIONAL MEDICINE),As an Occupational Health Physician you will provide clinical services as part of a comprehensive occupational medicine program for activities supported by the Naval Branch Health Clinic. The Naval Branch Health Clinics (BHC) are part of Naval Hospital Jacksonville's six health care facilities. To view more information about our facility please click on the following link: http://www.med.navy.mil/SITES/NAVALHOSPITALJAX/Pages/default.aspx
Physician (Primary Care),The Ambulatory Care Service at the Memphis VA Medical Center is seeking Staff Physician(s) to serve as an outpatient provider.
Physician (Radiologist),"This position is located within the Radiology Service at the Memphis VA Medical Center. The physician will provide general and specialized diagnostic Radiology services to the patients of the VAMC of Memphis. These diagnostic services include patient assessment and diagnosis prior to performance of any diagnostic test or therapy, including assisting/intervening with the referring physician for the proper test/treatment selection and protocol"
Physician (Rheumatologist),"OUR MISSION: To fulfill President Lincoln's promise - ""To care for him who shall have borne the battle and for his widow, and his orphan"" - by serving and honoring the men and women who are America's Veterans. How would you like to become a part of a team providing compassionate care to Veterans? PLEASE JOIN OUR MEMPHIS VA TEAM!
PCS authorized"
Physician (Emergency Department),"The Emergency Department is staffed and equipped to provide initial evaluation, treatment, and disposition for a broad spectrum of illnesses, injuries, and mental health disorders, regardless of the level of severity. Emergency care is provided in a clearly defined area dedicated to this function and operates 24 hours a day, 7 days a week. With-in the Emergency Department there is a dedicated area known as the ""Fast Track"" for the lower acuity patients to be seen."
Vascular Surgeon,Responsible for the medical and surgical needs of inpatients and outpatients on the Vascular Surgery Service.
Academic Anesthesiologist,"OUR MISSION: To fulfill President Lincoln's promise - ""To care for him who shall have borne the battle and for his widow, and his orphan"" - by serving and honoring the men and women who are America's Veterans. How would you like to become a part of a team providing compassionate care to Veterans?"
Physician - CBOC Primary Care (PACT),THIS IS AN OPEN CONTINUOUS (STANDING REGISTER) ANNOUNCEMENT. APPLICATIONS WILL BE REFERRED PERIODICALLY AS RECEIVED. THIS ANNOUNCEMENT WILL BE CLOSED ONCE THE POSITION IS FILLED.
